IDContrato;DataFoto;IDTranche;Tipo;DataBase;DataBaixa;DataEvento;Projetado;Realizado;TaxaCambio;TaxaVariante;Taxa;FoiRealizado
372586;1900-01-01;1;2;2010-08-01;2010-08-02;2010-08-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-08-01;2010-08-02;2010-08-01;10542526234328400000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-09-01;2010-09-01;2010-09-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-09-01;2010-09-01;2010-09-01;10278963078470200000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-10-01;2010-10-01;2010-10-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-10-01;2010-10-01;2010-10-01;96923225057534900000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-11-01;2010-11-01;2010-11-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-11-01;2010-11-01;2010-11-01;97518367667537800000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2010-12-01;2010-12-01;2010-12-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2010-12-01;2010-12-01;2010-12-01;91822002686085600000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2011-01-01;2011-01-03;2011-01-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2011-01-01;2011-01-03;2011-01-01;92247104550373600000;0.0000;0.0000;0.0000;11198750000;0
372586;1900-01-01;1;2;2011-02-01;2011-02-01;2011-02-01;27331027327777800000;0.0000;0.0000;0.0000;0.0000;0
372586;1900-01-01;1;3;2011-02-01;2011-02-01;2011-02-01;89611472991791400000;0.0000;0.0000;0.0000;11198750000;0
